,cra,ecaflip,eniripsa,enutrof,feca,iop,osamodas,pandawa,roublard,sacrieur,sadida,sram,steamer,xelor,zobal
cra,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
ecaflip,False,True,True,True,False,True,True,False,False,False,False,False,False,False,False
eniripsa,False,True,True,False,True,False,True,False,False,True,True,False,True,True,True
enutrof,False,True,False,True,False,False,True,True,False,False,True,False,False,False,False
feca,False,False,True,False,True,False,True,False,False,True,False,False,False,True,True
iop,False,True,False,False,False,True,False,False,False,False,True,False,True,True,False
osamodas,False,True,True,True,True,False,True,False,False,False,True,False,False,True,True
pandawa,False,False,False,True,False,False,False,True,False,False,True,False,False,True,True
roublard,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
sacrieur,False,False,True,False,True,False,False,False,False,True,False,False,True,True,False
sadida,False,False,True,True,False,True,True,True,False,False,True,False,False,True,True
sram,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
steamer,False,False,True,False,False,True,False,False,False,True,False,False,True,False,True
xelor,False,False,True,False,True,True,True,True,False,True,True,False,False,True,True
zobal,False,False,True,False,True,False,True,True,False,False,True,False,True,True,True
